[2025-07-15 00:33:33,985] INFO - 🎙️ Starting OMANI Mental Health Voice Bot Session
[2025-07-15 00:33:37,753] INFO - Voice input saved: static/audio\user_input.wav
[2025-07-15 00:33:39,601] INFO - HTTP Request: POST https://api.groq.com/openai/v1/audio/transcriptions "HTTP/1.1 200 OK"
[2025-07-15 00:33:39,601] INFO - Transcription successful.
[2025-07-15 00:33:39,601] INFO - 🤖 Running emotion and intent classification...
[2025-07-15 00:33:40,399] INFO - HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-15 00:33:40,403] INFO - 🎭 Emotion: الخوف | Intent: إفصاح عن مشاعر
[2025-07-15 00:33:40,417] INFO - ℹ️ No specific intent matched. Defaulting to 'general_support'
[2025-07-15 00:33:40,417] INFO -  Building culturally adapted prompt...
[2025-07-15 00:33:51,392] INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
[2025-07-15 00:33:51,392] INFO - GPT-4o responded in 10.97s
